id,type,name,description,address,postal_code,city,department,region,latitude,longitude,website,email,period,precision,source,source_ref,last_updated
atel-00001,atelier_ecriture,Aleph-Écriture,"Centre de formation à l'écriture (créé en 1985) : ateliers d'écriture créative et professionnelle, cycles de création littéraire, formation d'animateurs. Antennes en région et à distance.",9 Rue de Saint-Pétersbourg 75008 Paris,75008,Paris,75,Île-de-France,48.880431,2.324407,https://www.aleph-ecriture.fr,,,exacte,"Curaté (recherche web) — non exhaustif, à enrichir",,2026-06-28
atel-00002,atelier_ecriture,Aleph-Écriture — Lyon,Ateliers d'écriture Aleph en région lyonnaise.,,69001,Lyon,69,Auvergne-Rhône-Alpes,45.758,4.835,https://www.aleph-ecriture.fr/informations-pratiques/ou-nous-trouver/,,,ville,"Curaté (recherche web) — non exhaustif, à enrichir",,2026-06-28
atel-00003,atelier_ecriture,Aleph-Écriture — Marseille,Ateliers d'écriture Aleph à Marseille.,,13001,Marseille,13,Provence-Alpes-Côte d'Azur,43.282,5.405,https://www.aleph-ecriture.fr/informations-pratiques/ou-nous-trouver/,,,ville,"Curaté (recherche web) — non exhaustif, à enrichir",,2026-06-28
atel-00004,atelier_ecriture,Aleph-Écriture — Bordeaux,Ateliers d'écriture Aleph à Bordeaux.,,33000,Bordeaux,33,Nouvelle-Aquitaine,44.851895,-0.587877,https://www.aleph-ecriture.fr/informations-pratiques/ou-nous-trouver/,,,ville,"Curaté (recherche web) — non exhaustif, à enrichir",,2026-06-28
atel-00005,atelier_ecriture,Aleph-Écriture — Toulouse,Ateliers d'écriture Aleph à Toulouse.,,31000,Toulouse,31,Occitanie,43.604082,1.433805,https://www.aleph-ecriture.fr/informations-pratiques/ou-nous-trouver/,,,ville,"Curaté (recherche web) — non exhaustif, à enrichir",,2026-06-28
atel-00006,atelier_ecriture,Aleph-Écriture — Nantes,Ateliers d'écriture Aleph à Nantes.,,44000,Nantes,44,Pays de la Loire,47.239367,-1.555335,https://www.aleph-ecriture.fr/informations-pratiques/ou-nous-trouver/,,,ville,"Curaté (recherche web) — non exhaustif, à enrichir",,2026-06-28
atel-00007,atelier_ecriture,Les Ateliers d'écriture Élisabeth Bing,"Association créée en 1981 par Élisabeth Bing, pionnière de l'atelier d'écriture en France (1969) : ateliers pour particuliers, institutions, entreprises, et formation d'animateurs.",,75001,Paris,75,Île-de-France,48.859,2.347,https://www.atelier-ecriture-bing.com,,,ville,"Curaté (recherche web) — non exhaustif, à enrichir",,2026-06-28
atel-00008,atelier_ecriture,CICLOP — Ateliers d'écriture,"Centre Interculturel de Communication, Langues et Orientation Pédagogique (fondé en 1975) : ateliers d'écriture en méthode non-directive et formation d'animateurs.",,75001,Paris,75,Île-de-France,48.859,2.347,http://ciclop.free.fr,,,ville,"Curaté (recherche web) — non exhaustif, à enrichir",,2026-06-28
atel-00009,atelier_ecriture,Le Labo des histoires,Association nationale d'ateliers d'écriture gratuits pour les moins de 25 ans ; nombreuses antennes régionales.,,75001,Paris,75,Île-de-France,48.859,2.347,https://www.labodeshistoires.com,,,ville,"Curaté (recherche web) — non exhaustif, à enrichir",,2026-06-28
atel-00010,atelier_ecriture,GFEN — secteur Écriture & Créativité,"Groupe Français d'Éducation Nouvelle : ateliers d'écriture et démarches de création, formation.",14 Avenue Spinoza 94200 Ivry-sur-Seine,94200,Ivry-sur-Seine,94,Île-de-France,48.811807,2.389789,https://www.gfen.asso.fr,,,exacte,"Curaté (recherche web) — non exhaustif, à enrichir",,2026-06-28
atel-00011,atelier_ecriture,Les Mots — atelier d'écriture,Maison/atelier d'écriture parisien : ateliers réguliers et stages animés par des auteurs.,4 Rue Dante 75005 Paris,75005,Paris,75,Île-de-France,48.85139,2.346774,https://www.lesmots.co,,,exacte,"Curaté (recherche web) — non exhaustif, à enrichir",,2026-06-28
atel-00012,atelier_ecriture,Élisabeth Bing — Provence,Antenne régionale des Ateliers d'écriture Élisabeth Bing.,,13080,Aix-en-Provence,13,Provence-Alpes-Côte d'Azur,43.541369,5.406124,https://www.atelier-ecriture-bing.com,,,ville,"Curaté (recherche web) — non exhaustif, à enrichir",,2026-06-28
