id,type,name,description,address,postal_code,city,department,region,latitude,longitude,website,email,period,precision,source,source_ref,last_updated
fest-04828,festival,L'antre des livres,"Festival/salon du livre — Bande dessinée, comics, manga, fiction (roman, théâtre, etc.), Non-fiction (documentaire, autobiographie, essai, récit, etc.), Poésie, polar, science-fiction",24 Avenue Antoine pinay,84100,Orange,Vaucluse,Provence-Alpes-Côte d'Azur,44.128913537,4.8098792403,https://www.lantredeslivres.com/,e-l-u@orange.fr,Avant-saison (1er janvier - 20 juin),exacte,Panorama des festivals — Ministère de la Culture / data.culture.gouv.fr,FEST_84087_4528,2026-06-28
fest-04829,festival,Dino Fabulo,Festival / salon du livre,,3800,Gannat,Allier,Auvergne-Rhône-Alpes,46.0984192073,3.17790823629,https://www.ville-gannat.fr/-Salon-du-Livre-Dino-Fabulo-2018-?lang=fr,,Avant-saison (1er janvier - 20 juin),exacte,Panorama des festivals — Ministère de la Culture / data.culture.gouv.fr,FEST_03118_2345,2026-06-28
fest-04830,festival,Festival du conte de Bourdeaux,Festival/salon du livre — Conte,7 Place de l'église,26460,Bourdeaux,Drôme,Auvergne-Rhône-Alpes,44.5787747922,5.15114352176,https://www.nouvellesduconte.org,festival@nouvellesduconte.org,Saison (21 juin - 5 septembre),exacte,Panorama des festivals — Ministère de la Culture / data.culture.gouv.fr,FEST_26056_967,2026-06-28
fest-04831,festival,Les Préférences,"Festival/salon du livre — Fiction (roman, théâtre, etc.), Non-fiction (documentaire, autobiographie, essai, récit, etc.), Poésie",1 Rue du Grenier à Sel,49410,Mauges-sur-Loire,Maine-et-Loire,Pays de la Loire,47.3429800481,-0.869186945487,www.maisonjuliengracq.fr,contact@maisonjuliengracq.fr,Après-saison (6 septembre - 31 décembre),exacte,Panorama des festivals — Ministère de la Culture / data.culture.gouv.fr,FEST_49244_3812,2026-06-28
fest-04832,festival,Raccord(s),"Festival/salon du livre — Fiction (roman, théâtre, etc.), Non-fiction (documentaire, autobiographie, essai, récit, etc.), Poésie, bande dessinée, livre d'art",,75006,Paris,Paris,Île-de-France,48.8489680919,2.33267089859,http://www.festival-raccords.com/,contact@festival-raccords.com,Saison (21 juin - 5 septembre),exacte,Panorama des festivals — Ministère de la Culture / data.culture.gouv.fr,FEST_75106_4846,2026-06-28
fest-04833,festival,des Livres en Jeu(X) !,Festival / salon du livre,,17300,Rochefort,Charente-Maritime,Nouvelle-Aquitaine,45.9432344536,-0.972356445692,https://www.salon-larochelle-drolenpage.com/,drolenpage@gmail.com,Saison (21 juin - 5 septembre),exacte,Panorama des festivals — Ministère de la Culture / data.culture.gouv.fr,FEST_17299_5459,2026-06-28
fest-04834,festival,Livre comme l'air,Festival/salon du livre — Littérature jeunesse,,95700,Roissy-en-France,Val-d'Oise,Île-de-France,49.00660444,2.51417743519,https://www.roissypaysdefrance.fr/actualites/actualite/livre-comme-lair-le-festival-de-litterature-jeunesse,ddevos@roissy-online.com,Avant-saison (1er janvier - 20 juin),exacte,Panorama des festivals — Ministère de la Culture / data.culture.gouv.fr,FEST_95527_5482,2026-06-28
fest-04835,festival,Festival International de Géographie,Festival / salon du livre,,88100,Saint-Dié-des-Vosges,Vosges,Grand Est,48.2967093514,6.93809367547,https://www.fig.saint-die-des-vosges.fr/index.php,adfig@ville-saintdie.fr,,exacte,Panorama des festivals — Ministère de la Culture / data.culture.gouv.fr,FEST_88413_5754,2026-06-28
fest-04836,festival,Festival Terre & Lettres,Festival / salon du livre,,17000,La Rochelle,Charente-Maritime,Nouvelle-Aquitaine,46.1620643972,-1.17465702836,www.terre-et-lettres.org,festival@terre-et-lettres.org,Avant-saison (1er janvier - 20 juin),exacte,Panorama des festivals — Ministère de la Culture / data.culture.gouv.fr,FEST_17300_2825,2026-06-28
fest-04837,festival,De pages en plages,Festival / salon du livre,,20137,Lecci,Corse-du-Sud,Corse,41.6654830708,9.31906773443,www.depagesenplages.fr,,Saison (21 juin - 5 septembre),exacte,Panorama des festivals — Ministère de la Culture / data.culture.gouv.fr,FEST_2A139_3212,2026-06-28
fest-04838,festival,Polarlens,Festival/salon du livre — Polar,Rue Denis Cordonnier,62300,Lens,Pas-de-Calais,Hauts-de-France,50.4374264148,2.82105851259,polarlens.fr,adufrenne@mairie-lens.fr,Avant-saison (1er janvier - 20 juin),exacte,Panorama des festivals — Ministère de la Culture / data.culture.gouv.fr,FEST_62498_3227,2026-06-28
fest-04839,festival,Salon du jeune lecteur Livres complices du Pays de Montbéliard,Festival/salon du livre — Littérature jeunesse,Rue des Carrières,25700,Valentigney,Doubs,Bourgogne-Franche-Comté,47.4647367767,6.82570788244,www.adec-paysdemontbeliard.fr,adec.livrescomplices@gmail.com,Après-saison (6 septembre - 31 décembre),exacte,Panorama des festivals — Ministère de la Culture / data.culture.gouv.fr,FEST_25580_6895,2026-06-28
