id,type,name,description,address,postal_code,city,department,region,latitude,longitude,website,email,period,specialty,events_url,precision,source,source_ref,last_updated
lib-00468,librairie,Librairie Jeunesse Oh  Les Papilles,,25 Rue Des Cordeliers 13100 Aix-En-Provence,13100,Aix-En-Provence,13,,43.529502216,5.4464434592,,,,jeunesse,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,478095474,2026-06-28
lib-00885,librairie,Le Chaperon Rouge,,8 Impasse De La Tranchee 71100 Chalon-Sur-Saone,71100,Chalon-Sur-Saone,71,,46.784071566,4.8451929354,,,,jeunesse,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,449353663,2026-06-28
lib-01545,librairie,Bulles & Jeunesse !,,52 Rue Poterie 35500 Vitre,35500,Vitre,35,,48.1237727941963,-1.21319108517043,,,,"manga,jeunesse",,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,829726397,2026-06-28
lib-01599,librairie,Libr'Enfant,,48 Rue Colbert 37000 Tours,37000,Tours,37,,47.3957356605645,0.689175177883769,,,,jeunesse,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,504230665,2026-06-28
lib-01770,librairie,Bleue Comme Une Orange,,12 Rue De La Republique 42350 La Talaudiere,42350,La Talaudiere,42,,45.48132232,4.4333562343,,,,jeunesse,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,789196813,2026-06-28
lib-01853,librairie,Les Enfants Terribles,,17 Rue De Verdun 44000 Nantes,44000,Nantes,44,,47.217314293,-1.551794175,,,,jeunesse,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,413477407,2026-06-28
lib-01933,librairie,Librairie Chantelivre,,66 Et 68 Rue Sainte Catherine 15 Place Du Martroi 45000 Orleans,45000,Orleans,45,,47.902010895,1.9049677588,,,,jeunesse,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,513025411,2026-06-28
lib-02715,librairie,Bullez Jeunesse ! (Bullez Jeunesse !),,6 Rue Poincare 67700 Saverne,67700,Saverne,67,,48.741032429,7.3610521756,,,,jeunesse,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,978564854,2026-06-28
lib-02853,librairie,Librairie Jeunesse A Titre D'Aile,,23 Rue Des Tables Claudiennes 69001 Lyon,69001,Lyon,69,,45.770941697,4.8314108791,,,,jeunesse,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,852501808,2026-06-28
lib-03316,librairie,La Librairie Des Enfants,,89 Rue De Levis 75017 Paris,75017,Paris,75,,48.884816984,2.3114010517,,,,jeunesse,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,449103472,2026-06-28
lib-03547,librairie,Librairie Chantelivre,,13 Rue De Sevres 75006 Paris,75006,Paris,75,,48.851475393,2.3284321339,,,,jeunesse,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,300570231,2026-06-28
lib-03677,librairie,Comme Une Orange,,46 Rue Bayen 75017 Paris,75017,Paris,75,,48.882734362,2.2911007939,,,,jeunesse,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,823115209,2026-06-28
lib-04064,librairie,La Librairie Des Enfants,,13 Rue Peyroliere 81000 Albi,81000,Albi,81,,43.927588967,2.1450644312,,,,jeunesse,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,507576528,2026-06-28
lib-04129,librairie,Librairie De L'Enfant Jesus,,81 Rue Orves 83000 Toulon,83000,Toulon,83,,43.111796629,5.9402479436,,,,jeunesse,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,791107402,2026-06-28
