id,type,name,description,address,postal_code,city,department,region,latitude,longitude,website,email,period,specialty,events_url,precision,source,source_ref,last_updated
lib-00144,librairie,Comic Cafe,,Place Des Martyrs De La Resistance 06600 Antibes,06600,Antibes,06,,43.58110297367603,7.123605942650303,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,480054139,2026-06-28
lib-00155,librairie,Mangakun,,182 Av Raiberti 06390 Contes,06390,Contes,06,,43.810570243,7.3135298163,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,952405389,2026-06-28
lib-00156,librairie,Comptoir Des Bd / Bd Fugue Cafe,,31 Rue D'Angleterre 06000 Nice,06000,Nice,06,,43.704099387,7.264492566,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,479805319,2026-06-28
lib-00193,librairie,Afk Manga (Afk Manga),,42 Rue Pastorelli 06000 Nice,06000,Nice,06,,43.700093866,7.2691301063,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,845297969,2026-06-28
lib-00258,librairie,Cafe-Librairie Plume Et Bulle,,17 Rue Irenee Carre 08000 Charleville-Mezieres,08000,Charleville-Mezieres,08,,49.772600518,4.7188734142,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,809731409,2026-06-28
lib-00340,librairie,Millau Manga,,1 Place De L’Arpajonie 12100 Millau,12100,Millau,12,,44.100670982,3.0783089644,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,980223549,2026-06-28
lib-00393,librairie,La Reserve A Bulles,,58 Rue 3 Freres Barthelemy 13006 Marseille 6Eme,13006,Marseille 6Eme,13,,43.293357193,5.386712618,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,481085645,2026-06-28
lib-00448,librairie,Reve De Manga,,6-8 6 Rue Des Tanneurs 13100 Aix-En-Provence,13100,Aix-En-Provence,13,,43.527763058,5.4464064945,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,522793546,2026-06-28
lib-00605,librairie,Des Bulles Dans L'Ocean,,Lieu Dit La Cour Carree 63 Rue Jean Chatel 97400 Saint-Denis,97400,Saint-Denis,974,,-20.87777061,55.449950815,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,419368329,2026-06-28
lib-00606,librairie,Mangayama,,4 Rue Du Sauvage 16000 Angouleme,16000,Angouleme,16,,45.648206223183,0.158855131586062,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,528462393,2026-06-28
lib-00611,librairie,Manga Kat (Manga Kat Angouleme),,28 Place Marengo 16000 Angouleme,16000,Angouleme,16,,45.648868119,0.1577478828,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,951018902,2026-06-28
lib-00619,librairie,Mangawa,,19 Rue Henri Fichon 16100 Cognac,16100,Cognac,16,,45.694339083,-0.324126489,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,495022444,2026-06-28
lib-00644,librairie,L'Odyssee Du Manga,,81 Rue Gambetta 17200 Royan,17200,Royan,17,,45.621382593,-1.031191879,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,984085365,2026-06-28
lib-00661,librairie,Bulles En Cavale,,54 Rue De La Republique 17300 Rochefort,17300,Rochefort,17,,45.9377369393811,-0.960758170285539,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,483130795,2026-06-28
lib-00678,librairie,De La Lettre @ La Bulle,,4 Place Bassompierre 17100 Saintes,17100,Saintes,17,,45.746230845,-0.62861399,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,485254437,2026-06-28
lib-00749,librairie,Manga No Umi,,5 Rue De La Liberte 22540 Louargat,22540,Louargat,22,,48.564723544,-3.336772702,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,911617496,2026-06-28
lib-00845,librairie,Bd Fugue Cafe,,79 Grande-Rue 25000 Besancon,25000,Besancon,25,,47.237172097,6.0250593888,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,333553980,2026-06-28
lib-00852,librairie,Vannolles-Bd-Mangas,,7 Rue Vannolles 25300 Pontarlier,25300,Pontarlier,25,,46.903464446,6.3557255528,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,830095626,2026-06-28
lib-00915,librairie,Manga Gl,,43 Rue Jacquemart 26100 Romans-Sur-Isere,26100,Romans-Sur-Isere,26,,45.047182104,5.0484421595,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,979053667,2026-06-28
lib-00949,librairie,Manga San,,20 Rue De L'Horloge 27000 Evreux,27000,Evreux,27,,49.0260326176135,1.15070417558129,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,501839229,2026-06-28
lib-00984,librairie,Otaku No Dera Brest,,5 Place Royale 44000 Nantes,44000,Nantes,44,,47.2147867736455,-1.55873429862055,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,912649696,2026-06-28
lib-01012,librairie,La Maison Des Bulles,,18 Grand Rue 29600 Morlaix,29600,Morlaix,29,,48.577022322,-3.826770807,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,952809119,2026-06-28
