id,type,name,description,address,postal_code,city,department,region,latitude,longitude,website,email,period,precision,source,source_ref,last_updated
lib-00001,librairie,Cultura,,Heliopolis 17 Rue Archimede 33700 Merignac,33700,Merignac,33,,44.826717331,-0.685115205,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),519780795,2026-06-28
lib-00002,librairie,La Procure,,Num Voie 1 A 5 1 Rue De Mezieres 75006 Paris,75006,Paris,75,,48.850195122,2.3320085893,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),542005970,2026-06-28
lib-00003,librairie,La Procure Saint-Irenee,,8 Place Bellecour 69002 Lyon,69002,Lyon,69,,45.758379804,4.832760067,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),959500398,2026-06-28
lib-00004,librairie,Mon Petit Zebre,,46 Rue Saint Antoine 69003 Lyon,69003,Lyon,69,,45.763148584,4.8690795019,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),523640829,2026-06-28
lib-00005,librairie,Blanche Neige,,Ctre Commercial Du Bugey Rue Alexandre Berard 01500 Amberieu-En-Bugey,01500,Amberieu-En-Bugey,01,,45.960385848,5.3588118569,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),384460085,2026-06-28
lib-00006,librairie,Librairie Centrale,,3 Rue De Meyrin 01210 Ferney-Voltaire,01210,Ferney-Voltaire,01,,46.255419934,6.110916263,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),403528524,2026-06-28
lib-00007,librairie,Librairie Du Centre,,9 B Grand'Rue 01210 Ferney-Voltaire,01210,Ferney-Voltaire,01,,46.255976476,6.1102810331,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),807591037,2026-06-28
lib-00008,librairie,Lesexquismots,,11 Grand-Rue 01550 Collonges,01550,Collonges,01,,46.1383317688161,5.90360298039147,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),994907624,2026-06-28
lib-00009,librairie,Librairie Buffet,,A L'Angle De La Rue Jean Jaures N 13 27 Rue Victor Hugo 01100 Oyonnax,01100,Oyonnax,01,,46.258007604,5.6544601284,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),479494098,2026-06-28
lib-00010,librairie,Les 3 Reliques,,13 Rue Paul Et Louise Pioda 01000 Bourg-En-Bresse,01000,Bourg-En-Bresse,01,,46.207465621,5.2255110636,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),900362286,2026-06-28
lib-00011,librairie,Le Carre 76 Concept Store,,76 Grande Rue 01220 Divonne-Les-Bains,01220,Divonne-Les-Bains,01,,46.3555679256367,6.13978813157237,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),918997578,2026-06-28
lib-00012,librairie,De Lune A L'Autre,,31 Rue De La Republique 01200 Valserhone,01200,Valserhone,01,,46.107558472,5.8267293964,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),911774925,2026-06-28
lib-00013,librairie,Librairie Celestine,,Centre Commercial Magali Ii 9 Rue Pierre Bernin 01800 Meximieux,01800,Meximieux,01,,45.9031263002451,5.19006006982038,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),904169000,2026-06-28
lib-00014,librairie,Librairie Zannini,,8 Cours De Verdun 01000 Bourg-En-Bresse,01000,Bourg-En-Bresse,01,,46.206052073,5.2254486068,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),910845882,2026-06-28
lib-00015,librairie,L'Univers Des Mots,,61 Rue Georges Agniel 01140 Saint-Didier-Sur-Chalaronne,01140,Saint-Didier-Sur-Chalaronne,01,,46.1775326072717,4.81547587687699,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),945009744,2026-06-28
lib-00016,librairie,Ife,,15 Rue Du Parc Du Blanchon 01160 Pont-D'Ain,01160,Pont-D'Ain,01,,46.0454564844317,5.33757806918611,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),938402302,2026-06-28
lib-00017,librairie,Ngah Tsanga Ngah Tsanga Agathe (Ysagova Ligth),,26 Rue De Montholon 01000 Bourg-En-Bresse,01000,Bourg-En-Bresse,01,,46.1991760495146,5.20944070475359,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),953267549,2026-06-28
lib-00018,librairie,Les 2 Reponses,,119 Place Des Halles 01400 Chatillon-Sur-Chalaronne,01400,Chatillon-Sur-Chalaronne,01,,46.1186528837685,4.95766041286896,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),943418947,2026-06-28
lib-00019,librairie,Librairie L'Audacieuse (Librairie L'Audacieuse),,141 Place De L'Eglise 01640 Saint-Jean-Le-Vieux,01640,Saint-Jean-Le-Vieux,01,,46.0290406871275,5.38886093148393,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),993362276,2026-06-28
lib-00020,librairie,L'Escale Culturelle,,63 Rue Nationale 01110 Plateau D'Hauteville,01110,Plateau D'Hauteville,01,,45.983195974,5.603959414,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),894592856,2026-06-28
lib-00021,librairie,Pavillon Noir Bd,,49 Rue De La Republique 01200 Valserhone,01200,Valserhone,01,,46.1070872322494,5.825281426271,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),941643272,2026-06-28
lib-00022,librairie,Librairie Cafe Recto Verso,,208 Route De Divonne 01210 Versonnex,01210,Versonnex,01,,46.3026724226162,6.09719199746139,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),919842534,2026-06-28
lib-00023,librairie,Les Arts Frontieres Sgp (Les Arts Frontieres),,2 Rue Des Hautains 01630 Saint-Genis-Pouilly,01630,Saint-Genis-Pouilly,01,,46.2424611705265,6.0260279873685,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),887676310,2026-06-28
lib-00024,librairie,Librairie Ex Libris Sarl,,19 Rue Pasteur 01150 Lagnieu,01150,Lagnieu,01,,45.90369131,5.3490219554,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),442115796,2026-06-28
lib-00025,librairie,La Licorne,,14 Quai Edouard Serullaz 01420 Seyssel,01420,Seyssel,01,,45.9588989416635,5.83200472360388,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),100487263,2026-06-28
lib-00026,librairie,La Cabane De Babayaga (La Cabane De Babayaga),,32 Rue Alphonse Baudin 01400 Chatillon-Sur-Chalaronne,01400,Chatillon-Sur-Chalaronne,01,,46.1198053956653,4.95648050548316,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),100542000,2026-06-28
lib-00027,librairie,Sarl 3G Magny,,132 Rue Gilbert Boullier 01330 Villars-Les-Dombes,01330,Villars-Les-Dombes,01,,46.001124935,5.0298027647,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),910647122,2026-06-28
lib-00028,librairie,Mouvement Utopia,,5 Avenue Jean Moulin 01100 Oyonnax,01100,Oyonnax,01,,46.2591982468779,5.63661359943288,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),517687802,2026-06-28
lib-00029,librairie,La Plume Rouge,,5 Boulevard Des Combattants 01600 Trevoux,01600,Trevoux,01,,45.94048457,4.7795865277,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),790131379,2026-06-28
lib-00030,librairie,Les Arts Frontieres,,34 Grand'Rue 01210 Ferney-Voltaire,01210,Ferney-Voltaire,01,,46.25752367,6.1089602259,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),531589471,2026-06-28
lib-00031,librairie,Entre Parentheses,,548 Avenue Charles De Gaulle 01300 Belley,01300,Belley,01,,45.758565144,5.6961926473,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),529942641,2026-06-28
lib-00032,librairie,Librairie Le Papillon Bleu,,220 Rue Des Terreaux 01170 Gex,01170,Gex,01,,46.3335759240603,6.05850182665758,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),814015483,2026-06-28
lib-00033,librairie,Librairie La Folle Aventure,,3 Grande Rue 01600 Trevoux,01600,Trevoux,01,,45.940546927,4.775479162,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),848535241,2026-06-28
lib-00034,librairie,Mille Et Une Pages,,11 Rue Jean Miguet 01110 Plateau D'Hauteville,01110,Plateau D'Hauteville,01,,45.976933413,5.5998043846,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),882010739,2026-06-28
lib-00035,librairie,L Ode Aux Papillons,,104 Avenue Leon Marie Fournet 01480 Jassans-Riottier,01480,Jassans-Riottier,01,,45.985333973,4.7562143227,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),478524648,2026-06-28
lib-00036,librairie,Le Furet Du Nord,,Zone De L Union - 186/191 191 Rue Des Cinq Voies 59200 Tourcoing,59200,Tourcoing,59,,50.711520656,3.1698691766,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),459500864,2026-06-28
lib-00037,librairie,Librairie De La Gare Maison De La Presse,,9 Place Des Droits De L’Homme 02000 Laon,02000,Laon,02,,49.570151399,3.6236299808,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),338309834,2026-06-28
lib-00038,librairie,Tobiassima,,24 Avenue De La Victoire 02440 Montescourt-Lizerolles,02440,Montescourt-Lizerolles,02,,49.7383443585845,3.24967044595647,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),823638143,2026-06-28
lib-00039,librairie,Sarl Librairie Du Centre,,2 Rue Du Beffroi 02200 Soissons,02200,Soissons,02,,49.381371291,3.3264570344,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),409152600,2026-06-28
lib-00040,librairie,Inter Lignes,,6 Rue De Jaulzy 02200 Soissons,02200,Soissons,02,,49.381275571,3.3249516252,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),519976849,2026-06-28
lib-00041,librairie,Le Dormeur Du Val,,7 Rue De La Chaussee 02300 Chauny,02300,Chauny,02,,49.611792581,3.2201621597,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),424517167,2026-06-28
lib-00042,librairie,Eurl Caro,,20 22 Grande Rue 02400 Chateau-Thierry,02400,Chateau-Thierry,02,,49.045156571,3.4016233335,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),497947754,2026-06-28
lib-00043,librairie,Sarl Redic,,18 Rue Raspail 02100 Saint-Quentin,02100,Saint-Quentin,02,,49.848531846,3.2879068937,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),447484957,2026-06-28
lib-00044,librairie,L'Arbre Genereux,,18 Rue Du College 02200 Soissons,02200,Soissons,02,,49.382263133,3.325727476,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),813994910,2026-06-28
lib-00045,librairie,Cognet Multimedia,,21 Rue Victor Basch 02100 Saint-Quentin,02100,Saint-Quentin,02,,49.847246094,3.2849134347,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),880298310,2026-06-28
lib-00046,librairie,Mineral Et J'Aime,,181 Rue De Fayet 02100 Saint-Quentin,02100,Saint-Quentin,02,,49.854974132,3.2718288216,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),982299166,2026-06-28
lib-00047,librairie,Le Dragon Reveur,,9 Place Du General Leclerc 02000 Laon,02000,Laon,02,,49.5643700269562,3.62063675279985,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),922153580,2026-06-28
lib-00048,librairie,Bruneteaux Librairie Papetier,,38 Rue Saint Jean 02000 Laon,02000,Laon,02,,49.564615406,3.6179526051,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),741680052,2026-06-28
lib-00049,librairie,Jean-Claude Crespin (Librairie Crespin),,31 Route De Montescourt 02440 Clastres,02440,Clastres,02,,49.745703212,3.2358282509,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),330699554,2026-06-28
lib-00050,librairie,Josee Larghi,,Celleneuve 25 Route De Lodeve 34080 Montpellier,34080,Montpellier,34,,43.614279567,3.8279766301,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),324085331,2026-06-28
lib-00051,librairie,Brigitte Drubigny (Bailly),,136 Rue Charles De Gaulle 02500 Hirson,02500,Hirson,02,,49.917207968,4.0857309511,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),811124254,2026-06-28
lib-00052,librairie,Etudes Et Loisirs (Etudes Et Loisirs),,167 Rue Des Buts 60123 Bonneuil-En-Valois,60123,Bonneuil-En-Valois,60,,49.287184051,2.9840899624,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),337617807,2026-06-28
lib-00053,librairie,Librairie Papeterie Ray,,9 Place Marechal Foch 03500 Saint-Pourcain-Sur-Sioule,03500,Saint-Pourcain-Sur-Sioule,03,,46.307177246,3.2888392387,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),518234711,2026-06-28
lib-00054,librairie,Nsm Investissements Roanne,,Residence Albert 1Er 35 Rue Sainte Cecile 03200 Vichy,03200,Vichy,03,,46.1240540212599,3.42392742157335,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),847936234,2026-06-28
lib-00055,librairie,Le Livre A Venir,,41 Place De L’Oscambre 03140 Chantelle,03140,Chantelle,03,,46.237005005,3.1514852469,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),430387761,2026-06-28
lib-00056,librairie,Abdelwahid Benharrat,,17 Rue Bulot 03200 Vichy,03200,Vichy,03,,46.1254927409295,3.42927587698468,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),105448369,2026-06-28
lib-00057,librairie,Gm Bio,,Centre Commercial De Charmeil 12 Route De Saint-Pourcain 03110 Charmeil,03110,Charmeil,03,,46.156137138,3.3921811071,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),529011355,2026-06-28
lib-00058,librairie,Le Moulins Aux Lettres,,88 - 92 Rue D'Allier 03000 Moulins,03000,Moulins,03,,46.565843232,3.3339096446,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),501549505,2026-06-28
lib-00059,librairie,Maxence Manigault (Le Presse Papier),,59 Avenue Jules Guesde 03100 Montlucon,03100,Montlucon,03,,46.339170838,2.5851772123,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),884067885,2026-06-28
lib-00060,librairie,Le Plumier,,20-22-24 20 Rue Saint Jacques 76200 Dieppe,76200,Dieppe,76,,49.925186944,1.076491641,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),881818736,2026-06-28
lib-00061,librairie,Ajmb (Coincidence),,14 Rue Pasteur 03000 Moulins,03000,Moulins,03,,46.564361592,3.3324083653,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),978290468,2026-06-28
lib-00062,librairie,Easy Book,,13 Rue De Bourgogne 03200 Vichy,03200,Vichy,03,,46.1287704625286,3.43521778490976,,,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z),989347729,2026-06-28
