id,type,name,description,address,postal_code,city,department,region,latitude,longitude,website,email,period,precision,source,source_ref,last_updated
cph-05720,cafe_philo,Café Philo des Phares,"Le tout premier café-philo de Paris (fondé par Marc Sautet, 1992). Séances le dimanche matin.",7 Place de la Bastille 75004 Paris,75004,Paris,75,Île-de-France,48.853654,2.368323,https://www.cafe-philo-des-phares.info,,,exacte,"Curaté (recherche web) — non exhaustif, à enrichir",,2026-06-28
cph-05721,cafe_philo,Café Philo des Associés (Bastille),"Café philo dominical fondé par Bruno Magret (1996), 11h-13h.",32 Rue de la Roquette 75011 Paris,75011,Paris,75,Île-de-France,48.854251,2.37141,,,,exacte,"Curaté (recherche web) — non exhaustif, à enrichir",,2026-06-28
cph-05722,cafe_philo,Café Philo Nouvelle Acropole Paris 5,Café philo régulier organisé par Nouvelle Acropole.,48 Rue du Fer à Moulin 75005 Paris,75005,Paris,75,Île-de-France,48.838646,2.3513,https://paris5.nouvelle-acropole.fr,,,exacte,"Curaté (recherche web) — non exhaustif, à enrichir",,2026-06-28
cph-05723,cafe_philo,Café Philo de Lyon (Le Cap),"Café philo, séances régulières le mardi.",12 Rue des Capucins 69001 Lyon,69001,Lyon,69,Auvergne-Rhône-Alpes,45.769223,4.833678,https://www.cafesphilo.org/places/cafe-philo-lyon/,,,exacte,"Curaté (recherche web) — non exhaustif, à enrichir",,2026-06-28
cph-05724,cafe_philo,Café-Philo de Grenoble — UTEM Edgar Morin,"Université de Terrain Edgar Morin, café-philo grenoblois.",,38000,Grenoble,38,Auvergne-Rhône-Alpes,45.182828,5.724301,https://www.cafesphilo.org/places/cafe-philo-de-grenoble-utem-universite-de-terrain-edgar-morin/,,,ville,"Curaté (recherche web) — non exhaustif, à enrichir",,2026-06-28
cph-05725,cafe_philo,Micro-Cogito — Café philo du Bassin d'Arcachon,Café philo du Bassin d'Arcachon.,,33120,Arcachon,33,Nouvelle-Aquitaine,44.651462,-1.173981,https://www.cafesphilo.org/places/micro-cogito-cafe-philo-du-bassin-darcachon/,,,ville,"Curaté (recherche web) — non exhaustif, à enrichir",,2026-06-28
cph-05726,cafe_philo,Café Philo d'Annecy,"Café philo annécien, séances régulières.",,74000,Annecy,74,Auvergne-Rhône-Alpes,45.901584,6.125296,https://www.cafesphilo.org/places/cafe-philo-dannecy/,,,ville,"Curaté (recherche web) — non exhaustif, à enrichir",,2026-06-28
cph-05727,cafe_philo,Café Philo — Café Coaching Nice,Café philo niçois.,,06000,Nice,06,Provence-Alpes-Côte d'Azur,43.71273,7.255313,https://www.cafesphilo.org/places/cafe-philo-cafe-coaching-nice/,,,ville,"Curaté (recherche web) — non exhaustif, à enrichir",,2026-06-28
cph-05728,cafe_philo,Diaphilo — Atelier philo pour adultes,Atelier/café philo de l'association Diaphilo.,,74200,Thonon-les-Bains,74,Auvergne-Rhône-Alpes,46.3759,6.478152,https://www.cafesphilo.org/places/diaphilo/,,,ville,"Curaté (recherche web) — non exhaustif, à enrichir",,2026-06-28
cph-05729,cafe_philo,Café philo de la connaissance de soi,"Café philo, Annemasse.",,74100,Annemasse,74,Auvergne-Rhône-Alpes,46.189327,6.243054,https://www.cafesphilo.org/places/cafe-philo-de-la-connaissance-de-soi-dannemasse/,,,ville,"Curaté (recherche web) — non exhaustif, à enrichir",,2026-06-28
cph-05730,cafe_philo,Café Philo de Toulouse,Rencontres café-philo régulières à Toulouse.,,31000,Toulouse,31,Occitanie,43.604082,1.433805,,,,ville,"Curaté (recherche web) — non exhaustif, à enrichir",,2026-06-28
cph-05731,cafe_philo,Café Philo de Bordeaux,Rencontres café-philo régulières à Bordeaux.,,33000,Bordeaux,33,Nouvelle-Aquitaine,44.851895,-0.587877,,,,ville,"Curaté (recherche web) — non exhaustif, à enrichir",,2026-06-28
cph-05732,cafe_philo,Café Philo de Nantes,Rencontres café-philo régulières à Nantes.,,44000,Nantes,44,Pays de la Loire,47.239367,-1.555335,,,,ville,"Curaté (recherche web) — non exhaustif, à enrichir",,2026-06-28
cph-05733,cafe_philo,Café Philo de Marseille,Rencontres café-philo régulières à Marseille.,,13001,Marseille,13,Provence-Alpes-Côte d'Azur,43.282,5.405,,,,ville,"Curaté (recherche web) — non exhaustif, à enrichir",,2026-06-28
cph-05734,cafe_philo,Café Philo de Strasbourg,Rencontres café-philo régulières à Strasbourg.,,67000,Strasbourg,67,Grand Est,48.579831,7.761454,,,,ville,"Curaté (recherche web) — non exhaustif, à enrichir",,2026-06-28
cph-05735,cafe_philo,Café Philo de Montpellier,Rencontres café-philo régulières à Montpellier.,,34000,Montpellier,34,Occitanie,43.610476,3.87048,,,,ville,"Curaté (recherche web) — non exhaustif, à enrichir",,2026-06-28
cph-05736,cafe_philo,Café Philo de Rennes,Rencontres café-philo régulières à Rennes.,,35000,Rennes,35,Bretagne,48.110899,-1.68365,,,,ville,"Curaté (recherche web) — non exhaustif, à enrichir",,2026-06-28
cph-05737,cafe_philo,Café Philo de Lille,Rencontres café-philo régulières à Lille.,,59000,Lille,59,Hauts-de-France,50.630951,3.045391,,,,ville,"Curaté (recherche web) — non exhaustif, à enrichir",,2026-06-28
